x,y,reward,collision
64.62,100.53,280.34,
64.18,101.77,281.66,
63.64,102.72,282.75,
63.04,103.89,284.07,
62.64,104.91,285.16,
62.18,105.91,286.26,
61.64,107.12,287.58,
61.20,108.12,288.68,
60.74,109.11,289.78,
60.04,110.23,291.09,
59.36,111.09,292.19,
58.62,111.91,293.29,
57.78,112.94,294.62,
57.10,113.81,295.73,
56.51,114.74,296.83,
55.99,115.72,297.94,
55.24,116.82,299.27,
54.49,117.64,300.38,
53.79,118.51,301.50,
53.19,119.45,302.61,
52.63,120.65,303.94,
52.27,121.92,305.25,
51.95,122.97,306.36,
51.56,124.23,307.68,
51.20,125.50,308.99,
51.06,126.58,310.09,
51.16,127.87,311.37,
51.44,128.90,312.45,
51.83,130.15,313.75,
52.39,131.33,315.06,
53.10,132.42,316.36,
53.85,133.20,317.44,
54.60,134.00,318.54,
55.25,134.53,319.38,(null)
-0.00,0.35,145.11,
0.01,0.65,145.41,
0.05,1.03,145.79,
0.06,1.57,146.33,
0.12,2.05,146.81,
0.11,2.60,147.37,
0.01,3.24,148.01,
-0.20,3.92,148.73,
-0.49,4.86,149.71,
-0.74,5.75,150.63,
-1.09,6.71,151.65,
-1.45,7.91,152.91,
-1.73,8.89,153.93,
-1.92,10.06,155.11,
-1.95,11.01,156.06,
-1.84,11.94,157.00,
-1.70,12.88,157.94,
-1.57,14.02,159.10,
-1.44,15.18,160.27,
-1.31,16.17,161.26,
-1.12,17.16,162.27,
-1.03,18.18,163.30,
-1.07,19.22,164.34,
-1.36,20.44,165.59,
-1.65,21.69,166.88,
-1.88,22.76,167.96,
-2.13,23.82,169.05,
-2.60,25.05,170.38,
-3.16,26.00,171.48,
-3.75,26.95,172.59,
-4.60,27.98,173.93,
-5.45,28.68,175.03,
-6.30,29.40,176.14,
-7.29,30.32,177.49,
-8.19,30.97,178.61,
-9.15,31.56,179.74,
-10.22,32.40,181.09,
-10.95,33.24,182.21,
-11.52,34.18,183.31,
-12.03,35.18,184.42,
-12.46,36.20,185.53,
-13.04,37.41,186.88,
-13.58,38.38,187.99,
-14.25,39.54,189.32,
-14.88,40.45,190.43,
-15.50,41.36,191.54,
-16.31,42.40,192.86,
-16.88,43.34,193.95,
-17.28,44.35,195.04,
-17.50,45.42,196.13,
-17.71,46.71,197.44,
-17.79,47.80,198.53,
-17.89,48.89,199.63,
-17.93,50.20,200.94,
-18.04,51.30,202.04,
-18.13,52.62,203.37,
-18.34,53.70,204.46,
-18.70,54.73,205.56,
-19.12,55.74,206.65,
-19.55,56.99,207.97,
-19.82,58.05,209.07,
-20.29,59.30,210.40,
